yyyy,mm,maxC,minC
2016,5,18,7.5
2016,6,19.6,11.4
2016,7,22.4,12.6
2016,8,23.1,12.3
2016,9,20.7,12
2016,10,15.5,6.1
2016,11,11.1,2
2016,12,10.3,2.1
2017,1,8.1,-0.1
2017,2,9.9,3.7
2017,3,13.2,5.5
2017,4,15,3.2
2017,5,18.3,8.3
2017,6,21.9,11.4
2017,7,22.1,13
2017,8,21,11.4
2017,9,18.1,9.5
2017,10,16.6,8.8
2017,11,11.8,2.2
2017,12,9.7,1.6
2018,1,10.2,3
2018,2,7.4,-1.4
2018,3,9.4,2.2
2018,4,14.3,6.8
2018,5,19.4,7.5
2018,6,22.9,11.2
2018,7,25.9,13.1
2018,8,22.8,12.1
2018,9,19.6,8.6
