yyyy,mm,maxC,minC
2005,8,21.2,12.9
2005,9,21.0,14.6
2005,10,17.3,11.6
2005,11,9.9,4.6
2005,12,7.4,2.3
2006,1,6,2.6
2006,2,6.2,2
2006,3,8.1,2.3
2006,4,12.7,5.4
2006,5,16.4,9.3
2006,6,20.1,11.3
2006,7,25.4,15.6
2006,8,20.6,13.4
2006,9,21.7,14.6
2006,10,17,11.6
2006,11,12.5,6.3
2006,12,9.7,4.7
2007,1,9.8,4.8
2007,2,9.2,4.2
2007,3,11.4,4.3
2007,4,15.5,7.8
2007,5,16.2,9.6
2007,6,19,12.1
2007,7,20.6,13
2007,8,20.3,13.1
2007,9,18.7,11.7
2007,10,14.3,9.1
2007,11,10.4,5
2007,12,8.1,3.3
2008,1,9.6,4.3
2008,2,9.7,2.5
2008,3,9.5,3.9
2008,4,12.3,5.1
2008,5,17.1,10.4
2008,6,18.9,11.2
2008,7,22,13.3
2008,8,21.4,13.6
2008,9,17.6,11.5
2008,10,14.5,7.4
2008,11,10.4,5.8
2008,12,6.7,1.9
2009,1,5.5,0.3
2009,2,7.2,1.8
2009,3,11,3.4
2009,4,14.6,6.9
2009,5,17.2,9
2009,6,19.3,11.1
2009,7,22.5,13.3
2009,8,23.8,14.1
2009,9,19.8,12.6
2009,10,15.1,9.7
2009,11,12.5,7.3
2009,12,7.1,2.2
2010,1,4,-0.1
2010,2,6.3,0.6
2010,3,9.8,3.2
2010,4,13.2,4.9
2010,5,14.3,7.1
2010,6,19.3,11.5
2010,7,23.8,14.4
2010,8,20.9,13.5
2010,9,18.3,11.4
2010,10,14.5,9.3
2010,11,9.3,4.8
2010,12,3.5,-1
2011,1,6.7,3.1
2011,2,8.9,4
2011,3,10,3.6
2011,4,16.9,7.9
2011,5,18.2,9.4
2011,6,19.5,10.9
2011,7,20.1,12.1
2011,8,21.3,13.4
2011,9,20.9,12.5
2011,10,17.3,10.4
2011,11,12.8,7.4
2011,12,9.3,3.4
2012,1,9.1,3.5
2012,2,6.6,0.6
2012,3,11.5,4.2
2012,4,11.8,4.8
2012,5,16.3,9.2
2012,6,18.2,11
2012,7,20.7,12.5
2012,8,22.7,14.1
2012,9,19.2,10.5
2012,10,14,8.6
2012,11,10.3,4.9
2012,12,8.5,2.5
2013,1,6.1,1.8
2013,2,5.1,1
2013,3,5.7,1.5
2013,4,11.6,4.2
2013,5,14.6,6.8
2013,6,17.6,10.6
2013,7,22.3,13.9
2013,8,22.6,14.5
2013,9,18.5,11.3
2013,10,16,10.4
2013,11,9.7,5
2013,12,9.6,3.8
2014,1,9.4,3.9
2014,2,9.9,4
2014,3,12.4,4.9
2014,4,14.8,7.6
2014,5,16.6,9.2
2014,6,19.9,11.8
2014,7,22.4,14.8
2014,8,20.5,12.7
2014,9,20,13.2
2014,10,17.1,11
2014,11,12.2,7.7
2014,12,8.7,3.1
2015,1,7.9,2
2015,2,7.1,1.9
2015,3,10.1,3.8
2015,4,13.4,5.2
2015,5,16.3,8.1
2015,6,20.4,10.9
2015,7,22.3,13.6
2015,8,21.8,14.1
2015,9,17.5,10.7
2015,10,14.5,9.3
2015,11,13.2,7.5
2015,12,12.7,8.2
2016,1,8.6,3.1
2016,2,8.3,2.9
2016,3,9.6,3.5
2016,4,12,4.9
2016,5,16.7,9.3
2016,6,19,11.6
2016,7,22.8,14
2016,8,23.3,14.4
2016,9,22.5,14.4
2016,10,15,9.4
2016,11,10.1,4.4
2016,12,9.3,3.8
2017,1,6.3,0.7
2017,2,9.2,4.5
2017,3,13,6
2017,4,13.7,5.9
2017,5,17.9,9.8
2017,6,22.4,13.1
