yyyy,mm,maxC,minC
1929,5,14.8,4.7
1929,6,16.5,7.4
1929,7,19.9,9.5
1929,8,18.2,9.8
1929,9,18.9,8.3
1929,10,12.4,4.4
1929,11,8.7,2.3
1929,12,7,1.6
1930,1,7.1,1
1930,2,4.1,-0.6
1930,3,7.6,0.3
1930,4,9.8,3.7
1930,5,13,4.5
1930,6,18.7,8.4
1930,7,17.9,10.4
1930,8,19.1,10.2
1930,9,15.1,8.8
1930,10,12.5,5.8
1930,11,8.3,1.5
1930,12,6,0
1931,1,5.3,-0.5
1931,2,5.6,-0.3
1931,3,6.4,-1.4
1931,4,10,2.9
1931,5,14.1,5.4
1931,6,16.2,8.3
1931,7,18.2,10.6
1931,8,16.5,8.8
1931,9,14.7,6.4
1931,10,12.3,3.8
1931,11,9.2,3.3
1931,12,7.4,0.8
1932,1,8.6,1.5
1932,2,6.7,1
1932,3,7.5,0.6
1932,4,9.6,1.5
1932,5,11.8,5.4
1932,6,16.4,7.7
1932,7,18.5,11
1932,8,19.3,10.7
1932,9,15.8,7.6
1932,10,11,4.1
1932,11,8.4,3.2
1932,12,7.5,3
1933,1,4.5,-1.2
1933,2,6.1,0.6
1933,3,11,1.8
1933,4,12.2,4.4
1933,5,13.8,6.5
1933,6,19.1,8.9
1933,7,21.8,11.9
1933,8,21.5,11.4
1933,9,18,9.4
1933,10,12.6,6
1933,11,8,2.8
1933,12,4.2,0
1934,1,7.1,1.1
1934,2,8.4,1.6
1934,3,8.1,0.7
1934,4,10.2,3.1
1934,5,15,5.4
1934,6,17.8,8.5
1934,7,21.7,11.4
1934,8,18.9,9.6
1934,9,18.2,8.3
1934,10,12.9,6.3
1934,11,8.6,3.3
1934,12,9,4.5
1935,1,7.1,1.1
1935,2,8,1.9
1935,3,9.5,2.9
1935,4,10.2,3.2
1935,5,12.6,4.1
1935,6,18.2,9.1
1935,7,21.4,10.6
1935,8,21.4,10.7
1935,9,16.1,7.9
1935,10,12.4,4.7
